,book_id,chap_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,year
12,BetweenTheActs,13,0.001062292531723289,0.0015710723220124334,0.0,0.0025136108542952776,0.0025345300848316115,0.0,0.0002296830710935778,0.0025345300848316115,-0.0010413733011869553,1941
13,BetweenTheActs,14,0.0008240783754687001,0.0006186018192942742,0.0009610727760267387,0.0006265786550307129,0.0008280512066424742,0.0008800300445212387,0.0003811167481020742,0.001369287146232716,-0.0004378383898423322,1941
14,BetweenTheActs,15,0.0021079862972766556,0.0010096492680133481,0.002116671165645072,0.0012967832239306558,0.000997285802412204,0.000788946946458756,0.000279673757598856,0.001339634169258216,-0.0018659383390880518,1941
15,BetweenTheActs,16,0.0024929561404056252,0.001420387466071325,0.0008547434434439108,0.001508027160956368,0.0014426745085666572,0.0020500400368759714,0.0011005204241989464,0.0010725464269982358,-0.0012541440426088143,1941
16,BetweenTheActs,17,0.0002758145600029484,0.0002692242249610787,0.00024612333313863674,0.00023801914206141288,0.0003341458064521239,0.00022867956975879095,0.00019338823254092452,0.00024942405956072906,-5.341359785487676e-05,1941
17,BetweenTheActs,18,0.0005347054326131831,0.00019718490168656403,0.0005539297999197011,0.0005752209536432505,0.0003493931233603315,0.0004955439908198551,0.00010178354219276967,0.0005187919141279067,-0.00035810391298428764,1941
18,BetweenTheActs,19,0.0009341335655479268,0.0006300757545452927,0.0011503918270776782,0.0006655596734906975,0.0009658893981922439,0.0006966428429420755,0.0006312365480998804,0.0010520762503902464,-0.00026221744596088294,1941
19,BetweenTheActs,20,0.00105864518531222,0.001073510507296388,0.001146911266763248,0.0014642089680900077,0.0016510009883127239,0.0011460017483886,0.000761659364297176,0.001573389376130852,-0.00044140071939530797,1941
20,BetweenTheActs,21,0.0009677348538525156,0.0017006513489018031,0.000652134904107675,0.0009177758170972812,0.0024732264297846404,0.0013585790790631594,0.0008268176320952001,0.0020906497565393966,0.0011592270598570844,1941
21,BetweenTheActs,22,0.0009791277369307918,0.0005232770921886433,0.000622111850782754,0.0012703821796866595,0.002265535555397208,0.001957196270019338,0.000590103920718581,0.0009294612642240811,0.00033902608606661085,1941
22,BetweenTheActs,23,0.0003898119779525868,0.0004293268504862528,0.0004870391597198671,0.0005039215593374473,0.0009099818368059485,0.00031471140363239564,0.00018719295314867802,0.0014791175370696408,0.0008566332286992198,1941
23,BetweenTheActs,24,0.000704451567765604,0.0005889539945254737,0.0005108191599720593,0.0006347313733127447,0.0006716735742267486,0.0007158851370546001,0.0004849907820131329,0.0008400616740678211,-0.0003921267722118,1941
24,BetweenTheActs,25,0.0014219866687735347,0.0006186844189308796,0.0013636456844367982,0.0011990758492143776,0.0011693225934513143,0.001300194224889855,0.00023018982680641633,0.0018595898950241512,-3.522387236824893e-05,1941
25,BetweenTheActs,26,0.0007203735861469868,0.0005092058145176737,0.0004987545306430947,0.0008289434718158684,0.0008790924294970737,0.0002555517407442474,0.00029430554111226315,0.00140488036084955,0.00037899745997162633,1941
26,BetweenTheActs,27,0.0005340583870693986,0.00048156402922962634,0.0005957929586980332,0.0005598804892599555,0.0004145386896005222,0.0004026387382089278,0.00028901520265993055,0.001003122660983811,0.00015714203529008057,1941
27,BetweenTheActs,28,0.0035176662631931786,0.0024025442609496854,0.0011146506392227644,0.0026003654201433787,0.0017382673709112428,0.0008901003365012429,0.0013769347823404214,0.0030067485280194433,-0.001417399333811086,1941
28,BetweenTheActs,29,0.00020354301416493698,0.000821916768476526,0.0006451648501881246,0.0006009298496336041,0.0012022007676655987,0.0004845826260531932,0.0005894560473739726,0.0012034630551341398,0.0006043368336505068,1941
