term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
directly,0.04353208594816769,-0.008029426643916822,-0.01010976937575285,-0.013601403499779311,-0.017614526959475463,-0.011170851856413755,0.010787205646786103,-0.0093898639411297,-0.01742750391617421,-0.005276923593251659
desire,0.04892763732557085,-0.001263850160997178,-0.0715736076241036,0.015403257838201873,-0.018182216528124004,-0.004407758038058401,-0.04087588211249117,-0.013042350452710905,-0.009144790526418672,0.010508251042836758
stone,-0.00152365635475829,0.0447244619228267,0.0004727290463010312,-0.033946789892712464,0.017092630552444747,0.01527835388073693,-0.04975739426333424,-0.014488876297911402,0.07132917801128395,-0.004315512510378039
caught,0.0031272938920161152,0.002004650919307703,0.029211721851308277,-0.01407567425595794,0.01364523478225376,0.04341966080208961,-0.017945640740178792,-0.01406181887858278,0.018314425815532998,-0.006426112528346906
merely,0.04553086288860126,0.003778847111408647,-0.0017319007377551649,-0.0038582447354172694,-0.023624626315946494,0.005235566208112287,-0.0027454099997027415,0.024298990368302666,0.013814843027397078,0.03243987163031479
opposite,0.023548840338791444,0.023221159395690225,0.004785989780000185,-0.03316724489989494,0.006082929229437633,0.009903024093682704,-0.01292562801797903,-0.008088728286895247,-0.02047349979189446,-0.01803611142610176
wrong,0.03421725167745186,-0.003953012274990242,0.006616166356441302,-0.014535758737385468,0.016885960896475375,0.004369497585392475,0.01892929976460017,-0.012229280137111775,0.008136270911838578,0.009404369760623144
real,0.01398586796154614,-0.012901405462027882,0.00919779621398388,0.01576754611049738,0.011765279682405112,0.0019699721530008,0.0310415325811233,0.013651480270808515,0.03707236420684712,0.023248572735546758
afternoon,0.03449247280239831,0.004742858899543045,0.014335036284949585,0.029451609540368143,-0.04475379641039265,0.0011777129641775959,-0.00347656687196439,-0.007043742347704586,-0.003336411359381064,0.014220077954538765
running,-0.0046856925719100505,0.024898822372182827,0.004351021523374169,-0.037032224038655165,0.006824637407919116,0.00025061371121634966,-0.00270035006028857,-0.027686794665219446,-0.003982561781764371,0.013521989351148428
letters,0.019641534994305772,0.036433029142433536,0.026059717952076164,-0.00851070039436211,-0.03796488654877961,-0.0751439572746276,0.014958524844295797,0.06744453331500425,0.021260876551463415,-0.09614624375936337
watched,0.017272964139185186,0.0161161429946171,0.03242339411908169,-0.02347330860970147,0.020163877043551354,-0.008119161281014784,-0.01978412040879623,-0.043217917264997435,-0.011423816757305971,0.008732677400803773
scarcely,0.02090567739538776,0.017433883048966915,-0.00493491090991844,-0.0400899003049638,-0.04023061016528456,-0.01126192240344526,-0.017100391770951077,0.022309243737971194,0.01335624473198882,-0.009341144016760644
